Flat,Flat,Flat,Flat,Flat,Flat,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous
Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI
q1,q2,q3,q1,q2,q3,q1,q2,q3,q1,q2,q3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,503789.25,1001878.0,1700574.25,732812.75,1333048.5,1925806.25
815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,595444.5,1023323.0,1703738.5,732812.75,1333048.5,1925806.25
815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,595444.5,1023323.0,1703738.5,732812.75,1333048.5,1925806.25
841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1076995.0,1899319.5,2449801.5,1315024.25,2316608.5,3504065.75,748823.0,1354571.0,2076554.5,972901.25,1713540.0,2478487.5
